repo,label,confidence
dieterich-lab/bioinfo-scripts,API,1.0
geekybeaver/dbv,API,1.0
BfloFRED/FitVids.js,API,1.0
aws-cloudformation/aws-cloudformation-samples,API,1.0
imclab/drawbot,API,1.0
labatrockwell/ofxLibwebsockets,API,1.0
antmine/showcase-website,API,1.0
ApexRMS/sample-sales,API,1.0
webfacebg/ngx-translate-po-http-loader,API,1.0
tranquilitybase-io/tf-gcp-CFT-terraform-project,API,1.0
DataGrip/dumps,API,1.0
datasets/geo-ne-admin1,API,1.0
EMBL-EBI-TSI/aap-client-java,API,1.0
authmillenon/boards,API,1.0
segmentio/minimarketo,API,1.0
sunrise-php/slugger,API,1.0
statisticsnorway/dapla-start-ui,API,1.0
vanderbilt-design-studio/realtime-sign-go,API,1.0
aeternity/aepp-wall,API,1.0
GEOS-ESM/TR,API,1.0
devsisters/DQN-tensorflow,API,1.0
StateCDONetwork/data-policy-options,API,1.0
TrackIF/bunyan-raygun,API,1.0
pgexperts/handyrep,API,1.0
opensolutions/NOCtools,API,1.0
SKYHAWK-Recovery-Project/shrp,API,1.0
VF19CMI/docker-oracle-xe-11g,API,1.0
ssl-hep/servicex,API,1.0
mergermarket/elasticsearch-orchestrator,API,1.0
CodelyBR/moodle-mod,API,1.0
acl-services/vcpkg,API,1.0
zapier/formatic,API,1.0
Financial-Times/alphaville-build-tools,API,1.0
ConduitMobileRND/react-native-firebase-messaging,API,0.5754848903056601
Ymbra/git-gerrit,API,1.0
programmingandlogic/pythagoreantheorem-hjpenark154,API,1.0
palantir/witchcraft-api,API,1.0
cloudsight/cloudsight-go,API,1.0
code4sac/national-day-of-civic-hacking,API,1.0
Phoenix-Network-Ltd/makehuman,API,1.0
GoogleCloudPlatform/ipython-soccer-predictions,API,1.0
vigetlabs/uswds,API,1.0
techery/PBJVision,API,1.0
pendo-io/mobile,API,1.0
clemble/player-profile,API,1.0
heyday/silverstripe-mailgun,API,1.0
radhityasolution/mockup,API,1.0
eds-uga/days-project2,API,1.0
OSU-BMBL/qubic,API,1.0
strands-project/scitos,API,1.0
nintexplatform/azure.functionapp.appsettings.set,API,1.0
dart-lang/dart-protobuf,API,1.0
hybridgroup/gobot-leapmotion,API,1.0
mendelics/vcf,API,1.0
jolocom/jolo-did-method,API,1.0
microsoft/EyeDrive,API,1.0
chef-cookbooks/keepalived,API,1.0
filamentgroup/glyphhanger,API,1.0
bookmate/wisper,API,1.0
codeschool/elixir-lang.github.com,API,1.0
radialle/redbridge,API,1.0
stanford-mast/pocket,API,1.0
StackStorm-Exchange/napalm,API,1.0
nightstomp/iOSWebViewColor-PhoneGap-Plugin,API,1.0
MakeSchool-17/html-portfolio-deepaksuresh,API,1.0
google/Chrome.Docs,API,1.0
w3develops-university/front-end-handbook-2019,API,1.0
nuuday/terraform-aws-kubernetes-grafana,API,1.0
univmajalengka/201410042,API,1.0
plt-tud/r43ples-merging-client,API,1.0
fivegoodfriends/brakeman,API,1.0
pepabo-mobile-app-training/sunset,API,1.0
eosswedenorg/eosdart,API,1.0
thesis/natural-cron.js,API,1.0
aptech/gauss-data-cleaning,API,1.0
Essens/metrics-datadog,API,1.0
DangerCove/LaunchAtLogin,API,1.0
commaai/opendbc,API,1.0
adelyte/crescendo-cloud-driver,API,1.0
spark/react-headroom,API,1.0
northwesternmutual/ai-challenge,API,1.0
Apress/rman-recipes-for-oracle-db-11g,API,1.0
ids-s1-20/project-x404,API,1.0
getupcloud/openshift-s3-client,API,1.0
Ortus-Solutions/box-tasks,API,1.0
zendesk/mcrouter-kubernetes-provisioner,API,1.0
ClusterLabs/clusterlabs-www,API,1.0
younginnovations/aidstream-tz,API,1.0
wearerequired/required-foundation-alertbox-shortcode,API,1.0
uclouvain/osis-admission-sdk,API,1.0
agroknow/ieru-oe-webapp,API,1.0
tildecity/tilde.city,API,1.0
web3templates/nextly-template,API,1.0
techtraits/appengine-pipeline-java,API,1.0
Digilent/silverneedle,API,1.0
launchdarkly/generate,API,1.0
CreamCoderz/mortar-app-stub,API,1.0
indielayer/eslint-config,API,1.0
jetml/jetml-docker,API,1.0
